1;Juan;14/01/2025 20:34:05;out
1;Juan;14/01/2025 20:34:09;in
1;Juan;14/01/2025 20:34:09;in
1;Juan;14/01/2025 20:34:10;out
1;Juan;14/01/2025 20:34:10;out
1;Juan;14/01/2025 20:34:10;out
1;Juan;14/01/2025 20:37:58;in
1;Juan;14/01/2025 20:37:58;in
1;Juan;14/01/2025 20:37:58;in
1;Juan;14/01/2025 20:37:58;in
1;Juan;14/01/2025 20:38:14;out
1;Juan;14/01/2025 20:38:18;in
1;Juan;14/01/2025 20:38:18;in
1;Juan;14/01/2025 20:40:59;out
1;Juan;14/01/2025 20:41:01;in
1;Juan;14/01/2025 20:41:07;out
-;-;14/01/2025 20:43:51;Código erróneo
-;-;14/01/2025 20:49:56;Código erróneo
